FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,RateDOUBLE,SingleExemp,ChildExemp
Kuniaki,Bordawekar,785,145-1904,HERINGTON,KS,67449,S,Y,74000,6.45,2250,2250
Liangchun,Bodoff,505,152-1858,MADISON LAKE,WV,87106,S,N,66000,5.3,3300,0
Moonhang,Reuter,541,132-1104,BRIGHTWOOD,OR,97011,M,Y,21000,9,0,159
Mrinalini,Kesler,207,135-1024,PORTLAND,ME,4123,S,N,34000,8.5,2850,0
Shikharesh,Ravid,802,106-1488,IRASBURG,VT,5845,M,Y,3000,3.6,0,3300
Baoquan,Kantner,308,119-1412,WEEPING WATER,NE,68463,S,Y,58500,6.84,103,103
Aikira,Wadey,402,185-1938,LA VETA,IA,68183,S,Y,23500,6.30722,103,103
Branimir,Motley,917,199-1904,HONEOYE,NY,14471,S,Y,35000,4.1564026,0,1000
Shahadat,Fontan,603,118-1151,BARNSTEAD,NH,3218,S,N,62000,0,0,0
Kehsiung,Tekampe,425,144-1580,EAST WENATCHEE,WA,98802,S,Y,72000,0,0,0
Tanya,Yanagida,603,116-1410,BRADFORD,NH,3221,M,N,88000,0,0,0
Yoshikane,Lapez,865,146-1613,FRANKLIN,TN,37069,S,N,95000,0,0,0
Chacko,Heiken,228,170-1582,BAILEY,MS,39320,S,Y,32500,5,6000,1500
Hirotani,Lenhof,551,186-2084,MONTAGUE,NJ,7827,S,N,54500,1.9440937,1000,0
Viviana,Glinert,269,137-1580,HESSEL,MI,49745,S,N,59000,3.9,3100,0
Takuo,Bien,601,151-1599,TOCCOPOLA,MS,38874,S,Y,38500,5,6000,1500
Vittoria,Emele,479,125-1672,DIERKS,AR,71833,S,N,90500,7,20,0
Atam,Marshall,219,172-1854,ELIZABETH,IN,47117,M,N,78500,3.4,0,0
Kokichi,Wolte,304,149-1230,RUPERT,WV,25984,S,Y,15500,3.385,2000,2000
Ashesh,Koubarakis,912,136-1113,ELLENWOOD,GA,30294,M,N,64000,6,0,0
Joe,Braunmuhl,979,173-1129,ARLINGTON,TX,76005,S,Y,41000,0,0,0
Saliha,Charretton,307,116-1677,RELIANCE,WY,82943,S,N,75500,0,0,0
Mosfeq,Dachille,207,177-1775,NEW VINEYARD,ME,4956,S,Y,57500,8.5,2850,2850
Eser,Daykin,407,180-1582,NAPLES,FL,34105,M,Y,97000,0,0,0
Tatsunori,Ljubodraga,636,158-1418,POPLAR BLUFF,MO,63901,M,N,60500,6,0,0
Darren,Furman,207,151-1780,HEBRON,ME,4238,M,Y,50500,8.5,0,2850
Tokunbo,Pokrovskii,970,128-2017,YAMPA,CO,80483,M,N,51000,4.63,0,0
Atsumi,Schirra,919,180-1266,ENFIELD,NC,27823,M,Y,93500,7.694056,0,3300
Chongjiang,Roure,304,197-1271,UPPER TRACT,WV,26866,M,Y,82000,6.5,0,2000
Nils,Cakic,949,125-1500,MOORPARK,CA,93020,M,N,28000,6.1183887,0,0
Moritoshi,Margenstern,302,106-2075,NEW CASTLE,DE,19721,S,N,69500,5.95,110,0
Beatrix,Dabdub,228,182-1964,NATCHEZ,MS,39121,S,Y,43000,5,6000,1500
LuoQuan,Luzi,504,189-1909,BAKER,LA,70714,M,N,45000,6,0,0
Niklas,Jelasity,623,158-1304,PHOENIX,AZ,85017,S,Y,7500,2.87,2100,2300
Koppolu,Rabejac,808,131-1760,HONOLULU,HI,96817,M,N,33500,7.0782895,0,0
Tatsurou,Lanzo,843,149-1923,PENDLETON,SC,29670,M,N,62000,7,0,0
Yim,Sagalovich,769,161-1544,KILN,MS,39556,S,N,25500,5,6000,0
Sandra,Iacobovici,580,164-1352,BATTIEST,OK,74722,S,N,32000,6.25,1000,0
Yoshihumi,Gentner,225,134-1804,THIBODAUX-typoALMONT,LA-typoWV,70301,M,Y,82000,6,0,1000
Sander,Vanegas,567,143-1645,CANTON,OH,44708,S,N,98500,3.8157206,1300,0
Kimming,Chubarov,502,186-1764,BROOKS,KY,40109,S,Y,50500,4.638889,20,20
Veronik,Kayton,860,120-1381,EAST BERLIN,CT,6023,M,Y,16000,5,0,0
Syed,Crampes,310,152-1005,LIVERMORE,CA,94550,S,N,21500,4.583887,87,0
Hyunseung,Mahapatra,939,144-1454,YABUCOA,PR,767,M,N,1500,0,0,0
Toshi,Feuerman,541,131-1442,WHITE CITY,OR,97503,S,Y,21500,9,159,159
Hanja,Gaposchkin,304,164-1297,RAGLAND,WV,25690,S,N,78500,6.5,2000,0
Jeremy,Ananiadou,757,167-1959,ELLISTON,VA,24087,M,N,78000,5.75,0,0
Samual,Luga,731,162-1923,MOUNTAIN CITY,TN,37683,S,N,11000,0,0,0
Naima,Lubarsky,773,130-2082,BIG ROCK,IL,60511,S,N,98500,3,2000,0
Hanhong,Chengzheng,816,105-1129,ARROW ROCK,MO,65320,S,N,44000,6,2100,0
Ravinder,Velthausz,308,123-1590,ALMONT,NV,68418,M,Y,49000,6.84,0,103
Yiftach,Aikenhead,770,101-1889,CLAYTON,GA,30525,M,Y,60000,6,0,3000
Sandip,Roijakkers,662,176-2069,GREENVILLE,MS,38704,M,N,85000,5,0,0
Marija,Ozeri,301,155-1923,ROCKVILLE,MD,20850,S,Y,68000,4.75,2400,2400
Lorene,Sommer,573,172-1310,CAPLINGER MILLS,MO,65607,M,N,92500,6,0,0
Min,Moshell,410,157-1413,GRASONVILLE,MD,21638,S,N,30500,4.75,2400,0
Aggis,Valkema,207,137-1228,WESTBROOK,ME,4092,M,N,81500,8.5,0,0
Xing,Gyssens,402,119-1612,BELGRADE,NE,68623,S,Y,34500,6.84,103,103
Nicolo,Rothenberg,316,193-2051,OSWEGO,KS,67356,S,Y,14000,3.5,2250,2250
Neda,O'Cinneide,469,189-1915,WEST-typoALMONT,TX-typoGA,76691,S,N,40000,0,0,0
Amante,Luiz,641,162-2090,SPENCER,IA,51301,M,Y,65500,8.98,0,40
Namio,Snedden,919,133-1913,HUBERT,NC,28539,M,N,20500,6.1625876,0,0
Maurizio,Lauchli,402,154-1511,CEDAR CREEK,NE,68016,S,N,67000,6.84,103,0
Satu,Schend,301,142-1226,SILVER SPRING,MD,20908,M,Y,24000,4.75,0,2400
Yinlin,Plumb,312,174-1124,ELDORADO,IL,62930,M,N,67500,3,0,0
Max,Borchering,406,160-1915,DUPUYER,MT,59432,M,Y,90000,6.9,0,1900
Macha,Loyola,605,171-1386,HOT SPRINGS,SD,57747,S,N,9500,0,0,0
Zohel,Ratto,662,110-1706,STONEWALL,MS,39363,S,Y,49500,5,6000,1500
Vera,Musinski,208,150-1582,LEADORE,ID,83464,S,Y,49000,7.8,3300,3300
Luciano,Guggino,309,146-1703,PENFIELD,IL,61862,M,Y,100000,3,0,2000
Sharolyn,Whitener,406,187-1319,PARK CITY,MT,59063,S,N,79000,6.9,1900,0
Kattamuri,Whitcomb,240,169-1422,DAMASCUS,MD,20872,S,Y,13500,4.75,2400,2400
Germano,Giannotti,808,199-1691,NORTH FORT MYERS,WV,96898,M,Y,48500,8.25,0,1040
Brahm,Bilardi,352,115-1467,BOCA RATON,FL,33497,M,N,6000,0,0,0
Saburo,Taft,330,191-1802,GREENWICH,OH,44837,S,N,21000,1.243118,1300,0
Bethina,Bhuyan,765,111-1353,EVANSVILLE,IN,47740,S,N,95500,3.4,1000,0
Derrick,Kohli,434,113-1868,LYNCHBURG,VA,24503,S,N,67000,5.75,900,0
Uday,Lefering,787,170-1699,SAN LORENZO,PR,754,S,Y,53000,0,0,0
Boonsieng,Kropf,320,170-2084,GHENT,MN,56239,M,Y,53000,7.0837245,0,3300
Katalin,Ryslinkova,870,174-1359,CASA,AR,72025,S,Y,10500,2.6973825,20,20
Marek,Marriott,816,174-1431,SILVA,MO,63964,M,N,42000,6,0,0
Kien,Weatherford,206,184-1766,CARLTON,WA,98814,M,N,96000,0,0,0
Noushin,Rine,574,162-1616,MODOC,IN,47358,M,Y,93500,3.4,0,1000
Waldo,Mahalingam,281,118-1226,OILTON,TX,78371,M,Y,51000,0,0,0
Niclas,Samaras,757,175-1030,RICHMOND,VA,23291,S,N,40500,5.75,900,0
Wakunaga,Norrish,847,134-1399,AMBOY,IL,61310,M,N,41500,3,0,0
Harjinder,Peckham,802,188-2060,RANDOLPH,VT,5060,M,Y,27500,3.6,0,3300
PeiZong,Anjum,505,175-1061,GUADALUPITA,NM,87722,M,Y,82500,5.3,0,3300
Raimundo,Peek,281,119-1996,PEARLAND,TX,77588,M,Y,48500,0,0,0
Jaechun,Linzer,712,147-2020,KIRKMAN,IA,51447,M,Y,36000,5.7216997,0,40
Luciano,Hodil,769,198-1609,WAVELAND,MS,39576,S,N,54000,5,6000,0
Midori,Teitelbaum,518,109-1803,ATHOL,NY,12810,M,Y,24000,4.092683,0,1000
Harvey,Rousu,580,136-1803,HEAVENER,OK,74937,S,N,51000,6.25,1000,0
Henryk,Vilot,307,113-1280,VAN TASSELL,WY,82242,S,N,57500,0,0,0
Winky,Merhav,412,136-2051,GIFFORD,PA,16732,S,N,57000,3.07,0,0
Toong,Ulery,701,120-1434,SARLES,ND,58372,S,N,87500,2.770032,3300,0
Jurij,Gaitonde,406,184-1491,ROUNDUP,MT,59073,M,Y,39500,6.9,0,1900
Haiko,Dehdashti,848,164-1081,MINOTOLA,NJ,8341,S,N,27000,1.5103958,1000,0
Leliane,Hallman,256,152-1360,MOBILE,AL,36688,S,Y,61500,5,1500,300
Indrajit,Dayana,203,120-1025,SALISBURY-typoHARTMAN,NV,6068,M,Y,54500,5,0,0
Masayo,Lehoczky,702,176-1576,LAS VEGAS,NV,89102,M,N,58000,0,0,0
Miron,Backes,860,193-1473,SOUTH WILLINGTON,CT,6265,S,N,23500,5,12750,0
Nevin,Sarocky,201,196-1512,PITTSTOWN,NJ,8867,S,Y,41500,1.7390729,1000,1500
Angotti,XueDong,603,140-1885,KEENE,NH,3435,M,N,50000,0,0,0
Anca,Hjrschheimi,304,124-1619,CAROLINA,WV,26563,S,N,83000,6.5,2000,0
Fehmina,Kornyak,720,142-1004,COLORADO SPRINGS,CO,80947,S,Y,12500,4.63,0,0
Tetsutaro,Hinsberger,901,194-1131,JOHNSON CITY,TN,37615,S,N,31500,0,0,0
Parosh,Chickermane,816,155-1301,GRANDVIEW,MO,64030,S,N,69000,6,2100,0
Joacheim,Haworth,417,135-2059,COOTER-typoLA VETA,MO-typoWV,63839,S,N,88000,6,2100,0
Margaretha,Conry,303,119-1357,CONIFER,CO,80433,S,Y,73500,4.63,0,0
Cuneyt,Brazell,202,172-1900,WASHINGTON,DC,20024,M,Y,89500,9,0,1370
Tarek,Tascini,443,192-1787,BRUNSWICK,MD,21716,S,Y,23000,4.75,2400,2400
Vamsee,Bars,850,148-1407,NAPLES,FL,34109,M,Y,39000,0,0,0
Bastiaan,Dresler,202,171-1991,WASHINGTON,DC,20045,S,Y,96500,9,1370,1370
Pohua,Rice,313,133-1954,BRETHREN,MI,49619,S,Y,93000,3.9,3100,3100
Ilaria,Iwadare,308,174-1091,NAPONEE,NE,68960,S,N,42000,6.84,103,0
Sanford,Galtieli,206,136-1860,SPOKANE,WA,99202,M,N,100000,0,0,0
Abdelaziz,Evard,301,128-1818,HUNT VALLEY-typoMADISON LAKE,IA,21065,M,Y,96000,4.75,0,2400
Berardina,Nonnengart,302,183-1255,WILMINGTON,DE,19887,M,N,21000,3.290909,0,0
Marita,Mathieson,937,163-1250,BROOKVILLE,OH,45309,M,Y,5000,0.712,0,1300
Kerttu,Burroughs,478,190-1116,MOLENA,GA,30258,M,Y,76500,6,0,3000
Ivo,Bui,586,168-1278,SANFORD,MI,48657,S,N,56500,3.9,3100,0
Jared,Mavaddat,802,159-1737,BRATTLEBORO,VT,5303,S,N,34000,3.6815712,3300,0
Tung,Greer,731,153-1045,KNOXVILLE,TN,37938,M,Y,79500,0,0,0
Gabriela,Schmiedel,207,186-1321,BANGOR,ME,4402,M,N,19500,8.5,0,0
Karlis,Lambe,920,189-1668,HARSHAW,WI,54529,S,Y,57500,5.445474,700,400
Tapio,Mersereau,308,137-2002,NELIGH,NE,68756,M,Y,26500,6.84,0,103
Kouamana,Yagawa,505,163-1342,PONDEROSA,NM,87044,M,Y,29500,5.3,0,3300
Wesley,Kabuka,712,156-1602,STOCKPORT,IA,52651,S,Y,14000,2.3253853,40,40
Arendse,Phalke,319,171-1257,BOUTON,IA,50039,S,Y,11000,1.8622515,40,40
Javier,Schupeta,561,192-1795,MIDWAY,FL,32343,M,Y,58000,0,0,0
Noga,Cappello,406,172-1046,BASIN,MT,59631,S,Y,55000,6.9,1900,1900
Chinhyun,Rehm,503,104-1766,LA VETA,WV,97304,S,N,94500,9,159,0
Anant,Karszt,970,165-1303,DENVER,CO,80232,M,N,67500,4.63,0,0
Abhaya,Kallman,906,161-1669,MUSKEGON,MI,49444,M,N,41500,3.9,0,0
Subhakar,Chandna,406,118-1844,FORT SHAW,MT,59443,M,Y,88000,6.9,0,1900
Antoni,Machta,509,116-1509,OLYMPIA,WA,98501,S,Y,37500,0,0,0
Thad,Trung,407,160-1095,LAKE WORTH,FL,33467,S,Y,84000,0,0,0
Shore,Recce,262,143-1605,MARINETTE,WI,54143,S,N,49500,5.3064733,700,0
Viswanath,Moorman,720,107-1510,HOLYOKE,CO,80734,M,Y,81000,4.63,0,0
Mizuko,Babinski,301,136-1458,BALTIMORE,MD,21289,S,N,77500,4.75,2400,0
Wijnand,Raan,240,193-1764,SILVER SPRING,MD,20916,M,N,59500,4.75,0,0
Jereon,Kuikka,208,102-1040,NAMPA,ID,83652,M,N,10000,4.109693,0,0
Parimal,Autexier,308,179-1430,WEEPING WATER,NE,68463,S,Y,66000,6.84,103,103
Angelo,Goswami,301,136-1083,TAKOMA PARK,MD,20913,S,N,42000,4.75,2400,0
Juliet,Rahola,603,143-1940,DOVER,NH,3821,M,N,54000,0,0,0
Ward,Deswarte,860,178-1547,WATERBURY,CT,6724,S,Y,85000,5,12750,0
Sungdo,Latil,505,114-1363,CONCHAS DAM,NM,88416,M,N,93000,5.3,0,0
Diomidis,Clouatre,225,192-1879,SULPHUR,LA,70665,M,N,98000,6,0,0
Changfeng,Sakurai,334,167-1260,CLANTON,AL,35046,M,N,2500,4.4,0,0
Ismaeil,Zinovjev,907,132-1747,SAVOONGA,AK,99769,S,Y,89500,0,0,0
Kyung,Coroyer,808,189-1629,PEPEEKEO,HI,96783,S,Y,56000,8.25,1040,1040
Mitsutoshi,Mikov,208,172-1926,GREENLEAF,ID,83626,S,N,10500,4.251628,3300,0
Ushio,Wechsung,901,118-1437,GRAND JUNCTION,TN,38039,S,Y,74000,0,0,0
Umest,Poor,952,156-1247,MAPLE PLAIN,MN,55571,S,N,68500,7.85,3300,0
Ido,Tayara,928,176-1332,QUEEN CREEK,AZ,85243,S,Y,21500,3.04825,2100,2300
Yoshiko,Vinck,706,187-1186,RISING FAWN,GA,30738,M,N,63000,6,0,0
IlYoung,Gien,769,155-1636,COILA,MS,38923,M,Y,72000,5,0,1500
Nevzat,Niccum,406,180-1335,WYOLA,MT,59089,M,N,37500,6.9,0,0
Wanda,Sadowsky,207,110-1854,HARRISON,ME,4040,S,N,27500,8.5,2850,0
Franklin,Letelier,318,106-1906,MOUNT AIRY,LA,70076,M,Y,8500,2,0,1000
Maynard,Summers,479,147-1192,HACKETT,AR,72937,M,Y,26000,6.4024143,0,20
Sudha,Pletat,931,179-1787,WINCHESTER,TN,37398,M,Y,90000,0,0,0
Alyson,Rivest,614,132-1088,CLEVELAND,OH,44128,M,Y,77000,3.1020308,0,1300
Xiaohu,Verhofstadt,302,136-1502,WILMINGTON,DE,19887,S,N,59500,5.915909,110,0
Minghong,Grivas,843,161-2013,CHARLESTON,SC,29414,S,N,27500,7,3300,0
Choonsik,Watanabe,270,155-1613,LEJUNIOR,KY,40849,M,N,21500,3.0277777,0,0
Jaffa,Gazzotti,757,152-1339,ROCHELLE,VA,22738,M,Y,45000,5.75,0,900
Beng,Yamashita,307,191-1712,ARMINTO,WY,82630,S,Y,88500,0,0,0
Jingwen,Hofman,406,109-1066,WHITE SULPHUR SPRINGS,MT,59645,S,N,35000,6.9,1900,0
Gugjon,Knightly,605,153-1372,LEAD,SD,57754,S,N,80000,0,0,0
Andres,Elwasif,269,166-1814,LA VETA,MI-typoWV,48422,S,N,79500,3.9,3100,0
Rachida,Charoenkitkarn,410,135-2012,SWANTON,MD,21561,S,Y,83000,4.75,2400,2400
Filomena,Dondis,623,151-1222,GILBERT,AZ,85296,M,N,83500,4.0092497,0,0
Insup,Murty,808,196-1597,HONOLULU,HI,96811,M,Y,79500,8.25,0,1040
Jovisa,Dan,240,171-1740,SILVER SPRING,MD,20911,S,Y,85000,4.75,2400,2400
Yoshimitsu,Tidwell,252,155-1463,HARTMAN,IA,28717,M,Y,67500,7.1486015,0,3300
Moses,Loganantharaj,785,105-1674,KANSAS CITY,KS,66117,M,Y,17000,3.8933334,0,2250
Rumjana,Willamowski,602,120-1047,PHOENIX,AZ,85073,S,Y,5500,2.87,2100,2300
Subarna,Rand,434,117-1066,RICHMOND,VA,23279,S,N,39500,5.75,900,0
Jongmoo,Taubman,605,187-1762,VEBLEN,SD,57270,M,N,11000,0,0,0
Mao,Cullers,307,109-1896,TIE SIDING,WY,82084,M,N,78500,0,0,0
Augustin,Heijne,304,173-2096,BOOMER,WV,25031,M,Y,80000,6.5,0,2000
Jimmie,Buskens,901,196-1920,INDIAN MOUND,TN,37079,S,N,81000,0,0,0
Yennun,Trammell,623,150-1000,CHANDLER,AZ,85249,M,Y,97500,4.2262497,0,2300
Tohgoroh,Gerards,808,110-1799,J B P H H,HI,96860,S,Y,27000,5.906579,1040,1040
Dingchao,Carballo,267,191-1251,BAUSMAN,PA,17504,M,N,31000,3.07,0,0
Keqin,Purdin,787,113-2061,PONCE,PR,716,S,N,66000,0,0,0
Jirun,Clares,603,121-1767,DOVER,NH,3820,M,Y,86500,0,0,0
Garry,Naccache,302,123-1471,LAUREL,DE,19956,M,Y,48500,5.165909,0,110
Shooying,Palaniappan,859,135-1748,DANVILLE,KY,40423,S,N,95500,6,20,0
Farooq,Widjojo,808,194-1605,LAHAINA,HI,96767,S,Y,44000,8.25,1040,1040
Naixun,Giaretta,425,192-1355,EAST OLYMPIA,WA,98540,S,Y,6500,0,0,0
Ellen,Funkhouser,970,150-1642,CONIFER,CO,80433,S,N,75500,4.63,0,0
Mun,Munster,650,128-1470,FOUNTAIN VALLEY,CA,92708,S,N,53000,9.3,87,0
Noriyuki,Willinger,304,182-1676,NORTH SPRING,WV,24869,S,Y,39000,5.0299997,2000,2000
Sachio,Szyerski,606,186-1944,MADISON LAKE,CT,40144,M,N,58500,5.083333,0,0
Hanene,Hodas,313,105-1352,COPPER CITY-typoMADISON LAKE,NV,49917,M,Y,98000,3.9,0,3100
Padhraic,Heering,701,116-1381,WHEATLAND,ND,58079,S,Y,84000,2.729459,3300,3300
Lode,Varwig,520,198-1891,OATMAN,AZ,86433,M,N,5500,2.87,0,0
Senol,Swartwout,603,137-1123,TEMPLE,NH,3084,S,Y,13500,0,0,0
Rondall,Nergos,401,183-1508,ADAMSVILLE,RI,2801,M,Y,10500,0,0,0
Anno,Mutka,832,111-1227,WARREN,TX,77664,S,Y,55500,0,0,0
Dimitris,Rosenblad,787,171-1958,VIEQUES,PR,765,M,Y,44500,0,0,0
Tedd,Eidelson,515,105-1170,AMANA,IA,52203,M,Y,97500,8.98,0,40
Eirik,Elgood,702,120-1334,LAS VEGAS,NV,89169,S,Y,52500,0,0,0
Hiyan,Halfin,603,119-1627,NEW DURHAM,NH,3855,S,N,99000,0,0,0
Philipp,Bajoga,505,155-1500,NORTH FORT MYERS,NM-typoNV,87364,M,N,69000,5.3,0,0
Kai,Corsini,402,133-1368,ANGORA,NE,69331,M,N,30000,6.84,0,0
Kaylan,Angot,617,173-1484,NORTH HATFIELD,MA,1066,M,Y,10500,5.3,0,1000
Sudhakar,Speer,701,163-1720,MAIDA,ND,58255,S,Y,31000,2.1150699,3300,3300
Naoya,Takiguchi,808,107-1314,LAHAINA,HI,96761,S,N,95000,8.25,1040,0
Maithili,Gloy,716,196-1900,SPRINGFIELD CENTER,NY,13468,M,Y,62500,4.315701,0,1000
Eberhardt,Breuker,603,177-2073,PORTSMOUTH,NH,3803,M,Y,1500,0,0,0
Lakshman,Spicer,847,195-1052,SHELDON,IL,60966,S,N,90500,3,2000,0
Iztok,Reeken,318,144-2057,HARTMAN,LA-typoIA,71033,M,Y,94000,6,0,1000
Nia,Ezeife,308,194-1734,SAINT EDWARD,NE,68660,M,Y,84500,6.84,0,103
Jaijeet,L'Ecuyer,303,165-1402,COLORADO SPRINGS,CO,80933,S,Y,12000,4.63,0,0
Slava,Comte,865,171-1066,KODAK,TN,37764,S,Y,35000,0,0,0
Kazumitsu,Bojadziev,602,191-1567,LEUPP,AZ,86035,S,N,46000,3.428,2100,0
Jagoda,Hepplewhite,918,134-1689,FLETCHER,OK,73541,S,N,43000,6.25,1000,0
Kazumasa,Dangelo,315,150-1736,CAYUTA,NY,14824,S,Y,17000,4.052134,0,1000
Courtland,Smiraglia,201,161-1304,JERSEY CITY,NJ,7302,S,N,61000,2.0466042,1000,0
Jieh,Streng,907,164-1202,MC GRATH,AK,99627,M,Y,30500,0,0,0
Ilyong,Mayrand,503,141-1015,NORTH BEND,OR,97459,S,Y,61500,9,159,159
Maeve,Bertelsen,478,140-1261,ATLANTA,GA,31120,M,Y,13500,6,0,3000
Muralidhara,Brizzi,307,199-1616,RIVERTON,WY,82501,M,Y,55000,0,0,0
Kunimasa,Litzler,865,157-1820,NASHVILLE,TN,37234,S,N,96000,0,0,0
Yanghee,Cheriton,319,171-1014,VAN WERT,IA,50262,S,N,85000,8.98,40,0
Ferroudja,Loganantharaj,706,175-2007,ALMONT,WV,30288,M,N,33500,6,0,0
Fujiichi,Pries,423,168-1268,SLAYDEN,TN,37165,S,Y,7000,0,0,0
Giridharan,Kahn,401,114-1140,PAWTUCKET,RI,2862,M,Y,5000,0,0,0
Vaggelis,Sylla,701,116-2032,TOWNER,ND,58788,S,Y,9500,2.1,3300,3300
Gugjon,Baak,303,169-1783,LOUVIERS,CO,80131,S,N,96500,4.63,0,0
Levis,Roucairol,207,135-1190,PEMAQUID,ME,4558,S,N,46000,8.5,2850,0
Hilan,Tiskin,719,148-1017,VAIL,CO,81658,S,Y,29500,4.63,0,0
Hongguang,Cox,918,198-1495,RATTAN,OK,74562,M,N,33000,6.25,0,0
Idit,Rath,802,183-1962,WESTMINSTER,VT,5158,M,Y,26000,3.6,0,3300
Isaac,Grapa,308,165-1925,HAZARD,NE,68844,S,Y,76000,6.84,103,103
Haruaki,Bignone,406,146-1860,BLACK EAGLE,MT,59414,S,N,54500,6.9,1900,0
Devina,Erde,980,152-1298,TEACHEY,NC,28464,M,Y,85000,7.515734,0,3300
Chunhong,Garidis,202,132-1129,WASHINGTON,DC,20217,S,N,1500,4.5,1370,0
Siwoo,Haberlandt,909,154-1603,LANCASTER,CA,93536,M,N,9000,1.6329229,0,0
Herman,Poupard,337,165-1394,SHREVEPORT,LA,71115,M,N,88500,6,0,0
Ricardo,Musikaev,262,168-1556,HANNIBAL-typoALMONT,WI-typoGA,54439,S,N,68500,5.636601,700,0
Peihuang,Langlais,419,104-1619,TOLEDO,OH,43614,M,N,65000,2.7036924,0,0
Dorota,Ballarin,936,117-1658,VAN VLECK,TX,77482,M,N,93500,0,0,0
Rongdong,Reutenauer,219,183-1797,DANA,IN,47847,M,N,28000,3.4,0,0
Bedabrata,Rotics,317,128-2019,BENNINGTON,IN,47011,M,N,59000,3.4,0,0
Lingtao,Olken,304,121-1836,ECKMAN,WV,24829,M,N,71000,6.5,0,0
Genki,Holtman,602,191-1621,PHOENIX-typoNORTH FORT MYERS,WV,85086,S,N,96000,4.203,2100,0
Rumjana,Carrico,405,156-1345,WAGONER,OK,74467,S,N,6000,3.6944447,1000,0
Shiho,Morreau,765,178-1545,PLAINFIELD,IN,46168,M,Y,61500,3.4,0,1000
Yoshiko,Minot,720,130-1649,NIWOT,CO,80544,S,N,70000,4.63,0,0
Tuomo,Waterman,603,125-1075,ALSTEAD,NH,3602,S,Y,68000,0,0,0
Goff,Mitsuhashi,775,181-1381,SPARKS,NV,89436,M,N,69000,0,0,0
Jie,Franaszczuk,401,128-1369,LINCOLN,RI,2865,M,Y,41500,0,0,0
Egor,Lothe,209,146-1943,PALMDALE,CA,93551,S,Y,93500,9.3,87,272
Asim,Ruckebusch,503,199-1651,DEPOE BAY,OR,97341,S,N,36000,9,159,0
Ebru,Pragasky,724,189-1041,REVLOC,PA,15948,M,N,34000,3.07,0,0
Hayo,Suwa,417,108-1927,MILFORD,MO,64766,S,Y,18500,6,2100,1200
Valentina,Weedman,207,147-1202,GREENVILLE,ME,4441,S,Y,8000,3.6368613,2850,2850
Agigdor,Holburn,650,118-1071,SAN LUIS OBISPO,CA,93403,M,Y,14000,2.8133085,0,272
Aloysius,Wilm,913,124-1255,TOPEKA,KS,66621,S,Y,83000,6.45,2250,2250
Kahlil,Pequeno,970,169-1548,LINDON,CO,80740,M,Y,71500,4.63,0,0
Hava,Risi,402,183-1099,MITCHELL,NE,69357,M,N,83500,6.84,0,0
Mirit,Farsi,939,163-1063,ANGELES,PR,611,S,N,94500,0,0,0
Yoshikazu,Doddapaneni,541,194-1968,MADISON LAKE,WV,97242,S,N,4500,6.897436,159,0
Hitomi,Purna,435,182-1497,KANOSH,UT,84637,S,N,60000,7,2475,0
Ayodele,Wigderson,801,177-1768,CEDAR CITY,UT,84720,S,Y,91000,7,2475,2475
Saurab,Luther,307,101-2042,LARAMIE,WY,82070,S,N,68000,0,0,0
Luiza,Pinkal,787,106-2086,SAN JUAN,PR,906,S,Y,64000,0,0,0
Debabrata,Krzyzanowski,401,102-1694,SMITHFIELD,RI,2917,M,Y,49000,0,0,0
Yanxiang,Castanedo,765,158-1666,INDIANAPOLIS,IN,46298,M,Y,77500,3.4,0,1000
Manrique,Karavelas,641,101-1434,IRWIN,IA,51446,M,N,62500,8.98,0,0
Yang,Bergen,620,111-1257,SCOTT CITY-typoALMONT,KS-typoNV,67871,S,Y,95000,6.45,2250,2250
Binto,Zettel,802,173-1298,FAIRFIELD,VT,5455,M,N,69000,4.3779125,0,0
Rolando,Hoogendoorn,302,116-1467,WILMINGTON,DE,19897,S,Y,94500,5.95,110,110
Chunming,Sartori,240,172-1340,JESSUP,MD,20794,S,N,57500,4.75,2400,0
Bojan,Cuadrado,503,176-1006,BLUE RIVER,OR,97413,S,Y,38500,9,159,159
Vinnakota,Cardazo,307,197-1684,BANNER,WY,82832,S,Y,83000,0,0,0
Theresa,Speyerer,208,197-2077,NEZPERCE,ID,83543,S,Y,70500,7.8,3300,3300
Muli,Ruffo,305,120-1483,CRAWFORDVILLE,FL,32327,M,N,55000,0,0,0
Bill,Heintz,641,156-1215,SLOAN,IA,51055,M,Y,75000,8.98,0,40
Nayyer,Bregier,205,138-1995,LILLIAN,AL,36549,S,N,67000,5,1500,0
Phule,Parikh,786,166-1762,SAINT PETERSBURG,FL,33704,S,N,32000,0,0,0
Jagdish,Kruiskamp,224,116-1656,COWDEN-typoHARTMAN,CT,62422,M,N,45500,3,0,0
Deoraj,Meyke,207,199-1286,KITTERY,ME,3904,S,N,89500,8.5,2850,0
Shivi,Magnier,202,118-2072,WASHINGTON,DC,20035,M,N,27000,8.325,0,0
Osher,Groeneboer,318,143-1750,KENNER,LA,70062,M,Y,16000,3.12,0,1000
Daphna,Bodlaender,510,137-1055,ALMONT,IA,95618,M,Y,26500,5.7642727,0,272
Tetsuhiko,McQuire,518,172-1333,MIDDLEBURGH-typoMADISON LAKE,GA,12122,S,Y,51500,4.2519817,0,1000
